StationID,MasterID,Latitude,Longitude,COMID
107RWCBHW,107RWCBHW,41.19664,-123.99636,8316099
107WE0605,107WE0605,40.89154,-123.8084,8318041
107WE0750,107WE0750,40.7548,-123.73981,8318353
107WER092,107WER092,41.4,-124.05806,8315549
108FCA013,108FCA013,41.08977,-124.08483,8315767
108PS0197,108PS0197,41.176,-124.0853,8315639
108WE1090,108WE1090,41.09051,-124.08467,8315767
109CE0101,109CE0101,40.83333,-123.95194,8318169
109PS0162,109PS0162,40.90519,-124.04166,8316819
109WE1051,109WE1051,40.93151,-124.07934,8316787
110CE0229,110CE0229,40.77083,-124.07527,8316929
110CE0325,110CE0325,40.76444,-124.06472,8316929
110CE0485,110CE0485,40.83722,-124.06861,8316885
110CE0613,110CE0613,40.80055,-124.15111,8316905
110ECSLSF,110ECSLSF,40.67323,-124.0966,8317131
110FCA102,110FCA102,40.72528,-124.11528,8317019
110PS0114,110PS0114,40.68788,-124.05053,8317105
110SMCATH,110SMCATH,40.63848,-124.10397,8317181
110WE0838,110WE0838,40.72861,-124.06014,8317011
111BBRBCC,111BBRBCC,39.69838,-122.9225,8297465
111BGCAER,111BGCAER,40.0211,-123.06052,8292877
111CBCAER,111CBCAER,39.52904,-122.84832,8305428
111CE0089,111CE0089,40.4625,-123.5425,2705613
111CE0551,111CE0551,39.35314,-122.77651,8308798
111CE0569,111CE0569,40.3461,-123.99327,8284792
111ERATRC,111ERATRC,39.5525,-122.8613,8305354
111FC1098,111FC1098,39.75738,-123.72484,8287522
111FCA063,111FCA063,40.31844,-123.77101,2706253
111FCA207,111FCA207,40.10694,-123.79667,8285292
111FS0001,111FS0001,39.327,-122.83101,8308998
111FS0007,111FS0007,39.4713,-122.83364,8308196
111FS0008,111FS0008,39.31933,-122.84536,8309034
111HSCAER,111HSCAER,39.52461,-122.85218,8305452
111MJE005,111MJE005,40.12311,-123.8424,8285238
111PAL105,111PAL105,40.34982,-123.96426,8284780
111PS0008,111PS0008,39.52196,-123.3967,8303686
111PS0013,111PS0013,40.40597,-123.8484,2705873
111PS0057,111PS0057,40.46917,-123.92925,2705647
111PS0060,111PS0060,40.1289,-123.11226,8292809
111PS0095,111PS0095,39.78908,-123.73694,8288634
111PS0110,111PS0110,39.35153,-122.87673,8308814
111PS0121,111PS0121,40.22576,-123.84549,8285008
111PS0144,111PS0144,39.90023,-123.01722,8294689
111PS0159,111PS0159,39.79971,-123.65586,8287442
111PS0160,111PS0160,39.44605,-123.02893,8306902
111PS0169,111PS0169,40.58297,-123.98891,2703219
111PS0178,111PS0178,40.67994,-123.95064,2703063
111PS0204,111PS0204,39.27704,-122.86602,8309206
111PS0237,111PS0237,40.33346,-123.46499,2706215
111RSCAER,111RSCAER,39.98777,-123.05131,8294601
111TGCAER,111TGCAER,39.39523,-122.86543,8308598
111WE0600,111WE0600,40.52712,-124.1702,2702269
111WE0606,111WE0606,39.79937,-123.7449,8288630
111WE0618,111WE0618,40.6568,-123.9803,2703093
111WE0813,111WE0813,39.95969,-123.43736,2709217
111WE0814,111WE0814,40.39042,-123.92781,2708823
111WE0816,111WE0816,39.58789,-122.9165,8305328
111WE0825,111WE0825,40.49018,-123.61268,2705433
111WE0832,111WE0832,39.65009,-123.60805,8287730
111WE0837,111WE0837,39.8693,-123.05088,8294791
111WE0844,111WE0844,40.31673,-123.99758,8284834
111WE1050,111WE1050,39.71181,-122.8409,8297445
111WE1056,111WE1056,40.29079,-123.45477,2706393
111WE1057,111WE1057,40.49014,-124.00231,2704051
111WE1065,111WE1065,39.44159,-122.82022,8308404
111WE1071,111WE1071,39.70044,-122.81126,8297463
111WE1074,111WE1074,40.59509,-123.91843,2703197
111WE1075,111WE1075,40.03758,-123.88138,8285444
111WE1092,111WE1092,40.22275,-123.72062,2706555
111WE1106,111WE1106,40.61985,-124.03025,2702017
111WER003,111WER003,39.53861,-122.86028,8305416
111WER008,111WER008,39.49361,-122.86417,8308060
111WER022,111WER022,39.985,-123.0504,8294601
111WER036,111WER036,40.16118,-123.4009,2706761
111WER046,111WER046,39.74028,-123.62972,8287544
111WER047,111WER047,39.72944,-123.63139,8287590
111WER077,111WER077,40.29556,-123.90361,8284864
111WER080,111WER080,40.1225,-123.84222,8285238
111WER098,111WER098,40.48843,-123.90767,2705443
111WER159,111WER159,39.42944,-122.84444,8308468
112PS0157,112PS0157,40.2316,-124.11221,2544631
112WE1063,112WE1063,40.16947,-124.04001,2544757
112WER078,112WER078,40.21917,-124.11222,2544661
113CE0001,113CE0001,39.5475,-123.72388,2662279
113CE0097,113CE0097,39.25472,-123.51,2664265
113CE0487,113CE0487,39.1,-123.50083,2664789
113GAR010,113GAR010,38.83737,-123.54644,2666411
113GAR011,113GAR011,38.89138,-123.45586,2666309
113GAR015,113GAR015,38.89312,-123.50885,2666843
113GAR021,113GAR021,38.90958,-123.41031,2666269
113GAR030,113GAR030,38.8702,-123.56669,2666381
113GAR038,113GAR038,38.83908,-123.53457,2666409
113GAR045,113GAR045,38.9443,-123.709,2666093
113GAR046,113GAR046,38.85578,-123.56359,2666381
113GAR061,113GAR061,38.88397,-123.59201,2666303
113GAR062,113GAR062,38.85961,-123.54843,2666375
113GAR084,113GAR084,38.92636,-123.62885,2666145
113GAR085,113GAR085,38.90739,-123.40151,2666269
113GAR087,113GAR087,38.90814,-123.48965,2666243
113GAR089,113GAR089,38.90824,-123.35092,2666257
113GAR094,113GAR094,38.86295,-123.56825,2666381
113GAR105,113GAR105,38.89959,-123.39061,2666269
113GAR109,113GAR109,38.94328,-123.71913,2666085
113GAR110,113GAR110,38.8553,-123.56022,2666405
113GAR112,113GAR112,38.92488,-123.49069,2666835
113GAR118,113GAR118,38.84264,-123.54917,2666405
113GAR178,113GAR178,38.87489,-123.49376,2666337
113GAR217,113GAR217,38.92393,-123.33533,2666211
113GAR244,113GAR244,38.93172,-123.59238,2666155
113GAR245,113GAR245,38.89878,-123.35432,2666293
113MLCTMR,113MLCTMR,39.54722,-123.72528,2662279
113PS0012,113PS0012,39.257,-123.50959,2664261
113PS0076,113PS0076,38.9363,-123.5005,2666835
113PS0084,113PS0084,39.40611,-123.71263,2663891
113PS0100,113PS0100,39.31779,-123.62643,2664095
113PS0120,113PS0120,39.15087,-123.6358,2664653
113PS0132,113PS0132,39.55671,-123.7235,2662241
113PS0168,113PS0168,38.75349,-123.40511,8281673
113PS0196,113PS0196,39.5439,-123.6553,2662251
113PS0216,113PS0216,38.51536,-123.24221,8281271
113PS0232,113PS0232,38.66785,-123.30996,8281015
113PS0268,113PS0268,39.15598,-123.4593,2664619
113RG8046,113RG8046,38.47575,-123.15189,8281847
113WE0590,113WE0590,39.18657,-123.5481,2664495
113WE0619,113WE0619,39.40743,-123.7407,2663845
113WER082,113WER082,39.39417,-123.68472,2663889
113WER086,113WER086,39.23667,-123.39222,2664327
113WER088,113WER088,39.07556,-123.46361,2664915
114AU7778,114AU7778,38.58703,-123.11811,8271487
114BSCURx,114BSCURx,38.78567,-122.77731,8272593
114CE0059,114CE0059,39.2825,-123.29194,8267963
114CE0131,114CE0131,38.78972,-123.19638,8270719
114CE0183,114CE0183,38.50722,-122.75694,8272561
114CE0259,114CE0259,38.80456,-122.82664,8271909
114CE0283,114CE0283,39.26083,-123.11083,8268071
114CE0291,114CE0291,38.81,-122.92444,8271905
114CE0535,114CE0535,38.39805,-122.86694,8273317
114CE0567,114CE0567,38.425,-122.65888,948010117
114CE0603,114CE0603,39.24027,-123.32416,8268127
114CE0695,114CE0695,38.43611,-122.72888,8273645
114CR0903,114CR0903,38.81627,-123.01119,8270711
